LoanRange, LoanAmount , BusinessName ,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
b $2-5 million,undisclosed,CROWLEY FLECK PLLP,490 N 31st St Suite 500,BILLINGS,MT,59101,922130,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,54,4/3/20,Stockman Bank of Montana,MT - 00
b $2-5 million,undisclosed,"DIVERSIFIED TRANSFER & STORAGE, INC.",1640 MONAD RD,BILLINGS,MT,59101,484122,Subchapter S Corporation,White,Male Owned,Non-Veteran,,269,4/11/20,The Yellowstone Bank,MT - 00
b $2-5 million,undisclosed,"FIRSTMARK CONSTRUCTION, LLC",6611 Trade Center Avenue,BILLINGS,MT,59101,237990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,265,4/10/20,First Interstate Bank,MT - 00
b $2-5 million,undisclosed,FRONTIER CHEVROLET,3000 King Ave West,BILLINGS,MT,59102,441110,Corporation,White,Unanswered,Unanswered,,168,4/3/20,Stockman Bank of Montana,MT - 00
b $2-5 million,undisclosed,KAMPGROUNDS OF AMERICA INC.,550 North 31 Street,BILLINGS,MT,59101,721214,Corporation,Unanswered,Unanswered,Unanswered,,10,4/27/20,Peapack-Gladstone Bank,MT - 00
b $2-5 million,undisclosed,"LANGLAS & ASSOCIATES, INC.",2270 GRANT RD STE C,BILLINGS,MT,59102,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,216,4/11/20,Dubuque Bank and Trust Company,MT - 00
b $2-5 million,undisclosed,"ORTHO MONTANA, PSC",2900 12TH AVE N STE 140W,BILLINGS,MT,59101,621111,Corporation,Unanswered,Unanswered,Unanswered,,145,4/15/20,"U.S. Bank, National Association",MT - 00
b $2-5 million,undisclosed,ROCKY MOUNTAIN COLLEGE,1511 Poly Dr,BILLINGS,MT,59102,611310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,487,4/10/20,First Interstate Bank,MT - 00
b $2-5 million,undisclosed,ST. JOHN'S LUTHERAN MINISTRIES,3940 Rimrock Road,BILLINGS,MT,59102,623312,Corporation,Unanswered,Unanswered,Unanswered,,487,4/10/20,First Interstate Bank,MT - 00
b $2-5 million,undisclosed,"THE TIRE GUYS, INC.",P.O. Box 23509 1401 Industrial Avenue,BILLINGS,MT,59104,441320,Corporation,Unanswered,Unanswered,Unanswered,,426,4/28/20,"U.S. Bank, National Association",MT - 00
b $2-5 million,undisclosed,THE WAGGONERS TRUCKING,5220 Midland Road,BILLINGS,MT,59101,484121,Subchapter S Corporation,White,Male Owned,Veteran,,137,4/4/20,Stockman Bank of Montana,MT - 00
b $2-5 million,undisclosed,US SHALE MANAGEMENT COMPANY,2348 North Frontage Road Ste 2,BILLINGS,MT,59101,237120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,110,4/12/20,Citywide Banks,MT - 00
b $2-5 million,undisclosed,WIRELESS COMMUNICATIONS INC,2501 SAINT JOHNS AVE,BILLINGS,MT,59102,453998,Subchapter S Corporation,White,Male Owned,Unanswered,,250,4/3/20,Stockman Bank of Montana,MT - 00
b $2-5 million,undisclosed,YELLOWSTONE BOYS & GIRLS RANCH,1732 S 72nd St W,BILLINGS,MT,59106,624110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,252,4/10/20,First Interstate Bank,MT - 00
b $2-5 million,undisclosed,"PAWS UP RANCH, LLC",40060 PAWS UP RD,BONNER,MT,59823,721214,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,141,4/3/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,KENYON NOBLE LUMBER COMPANY,PO Box 1109,BOZEMAN,MT,59771,444110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,255,4/28/20,"U.S. Bank, National Association",MT - 00
b $2-5 million,undisclosed,MARTEL CONSTRUCTION INC,1203 S CHURCH AVE,BOZEMAN,MT,59715,236210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,152,4/7/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,RESSLER MOTOR COMPANY,8475 Huffine Lane,BOZEMAN,MT,59718,441110,Trust,Unanswered,Unanswered,Unanswered,,287,4/7/20,"Alerus Financial, National Association",MT - 00
b $2-5 million,undisclosed,"SIMKINS-HALLIN, INC.",PO Box 938,BOZEMAN,MT,59771,444110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,119,4/28/20,"U.S. Bank, National Association",MT - 00
b $2-5 million,undisclosed,SIMMS FISHING PRODUCTS LLC,177 GARDEN DR,BOZEMAN,MT,59718,339920,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,150,4/8/20,American Bank,MT - 00
b $2-5 million,undisclosed,"COMMUNITY, COUNSELING, AND CORRECTIONAL SERVICES, INC.",471 East Mercury Street,BUTTE,MT,59701,561210,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,485,4/3/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,REC ADVANCED SILICON MATERIALS LLC,119140 RICK JONES WAY,BUTTE,MT,59750,331410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,205,4/30/20,Stockman Bank of Montana,MT - 00
b $2-5 million,undisclosed,FRONTLINE AG SOLUTIONS LLC,127 S MAIN ST,CONRAD,MT,59425,423820,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,195,4/4/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,BARRETT HOSPITAL DEVELOPMENT CORPORATION,600 MT Highway 91 S,DILLON,MT,59725,622110,Non-Profit Organization,Unanswered,Male Owned,Unanswered,Y,250,4/3/20,Stockman Bank of Montana,MT - 00
b $2-5 million,undisclosed,3 RIVERS TELEPHONE COOPERATIVE INC,202 5TH ST S,FAIRFIELD,MT,59436,517311,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,135,4/4/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,FRANCES MAHON DEACONESS,621 3RD ST S,GLASGOW,MT,59230,622110,Corporation,Unanswered,Unanswered,Unanswered,,268,4/8/20,First Community Bank,MT - 00
b $2-5 million,undisclosed,GLENDIVE MEDICAL CENTER INC,202 Prospect,GLENDIVE,MT,59330,622110,Non-Profit Organization,White,Male Owned,Non-Veteran,Y,250,4/4/20,Stockman Bank of Montana,MT - 00
b $2-5 million,undisclosed,ADF INTERNATIONAL INC.,1900 Great Bear Ave.,GREAT FALLS,MT,59401,332312,Corporation,Unanswered,Unanswered,Unanswered,,199,4/29/20,"U.S. Bank, National Association",MT - 00
b $2-5 million,undisclosed,"CENTRAL PLUMBING & HEATING, INC",3701 River Drive North,GREAT FALLS,MT,59405,238220,Corporation,Unanswered,Unanswered,Unanswered,,141,4/9/20,First Interstate Bank,MT - 00
b $2-5 million,undisclosed,"THOMAS, DEAN AND HOSKINS, INC.",1800 RIVER DR North,GREAT FALLS,MT,59401,541330,Corporation,White,Male Owned,Non-Veteran,,129,4/3/20,Stockman Bank of Montana,MT - 00
b $2-5 million,undisclosed,FORT BELKNAP PLANNING AND DEVELOPMENT CORPORATION,353 Old Hays Road,HAYS,MT,59527,928120,Corporation,Unanswered,Unanswered,Unanswered,,214,4/10/20,First United Bank and Trust Company,MT - 00
b $2-5 million,undisclosed,ANDERSON ZURMUEHLEN & CO. P.C.,828 Great Northern Blvd,HELENA,MT,59624,541211,Corporation,Unanswered,Unanswered,Unanswered,,206,4/10/20,First Interstate Bank,MT - 00
b $2-5 million,undisclosed,CARROLL COLLEGE,1601 N. Benton Ave.,HELENA,MT,59625,611310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,306,4/27/20,First Interstate Bank,MT - 00
b $2-5 million,undisclosed,MONTANA CHILDREN'S HOME AND HOSPITAL,2755 COLONIAL DR,HELENA,MT,59601,622310,Non-Profit Organization,Unanswered,Female Owned,Unanswered,Y,250,4/3/20,Stockman Bank of Montana,MT - 00
b $2-5 million,undisclosed,NORTH MONTANA AVE PARTNERSHIP,1414 North Montana Ave,HELENA,MT,59601,484110,Partnership,Unanswered,Unanswered,Unanswered,,268,4/9/20,First Interstate Bank,MT - 00
b $2-5 million,undisclosed,"ALAMON, INC.",315 West Idaho Street,KALISPELL,MT,59901,517919,Employee Stock Ownership Plan(ESOP),Unanswered,Unanswered,Non-Veteran,,208,4/4/20,Three Rivers Bank of Montana,MT - 00
b $2-5 million,undisclosed,"CITYSERVICEVALCON, LLC",640 West Montana St,KALISPELL,MT,59901,424710,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,164,4/7/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,IMMANUEL LUTHERAN COMMUNITIES,185 Crestline Avenue,KALISPELL,MT,59901,623990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,322,4/4/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,RE INVESTMENT COMPANY LLC,2414 US HIGHWAY 2 E,KALISPELL,MT,59901,532412,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,267,4/7/20,"PNC Bank, National Association",MT - 00
b $2-5 million,undisclosed,"WESTERN BUILDING CENTER, INC.",1745 3rd Ave E,KALISPELL,MT,59901,444110,Corporation,Unanswered,Unanswered,Unanswered,,250,4/5/20,Three Rivers Bank of Montana,MT - 00
b $2-5 million,undisclosed,WORKING VENTURES LP,702 E IDAHO ST,KALISPELL,MT,59901,561320,Limited Liability Partnership,Unanswered,Female Owned,Unanswered,,294,4/3/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,"CENTRAL MONTANA MEDICAL FACILITIES, INC.",408 WENDELL AVE,LEWISTOWN,MT,59457,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0,4/4/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,CENTURY COMPANIES INC,510 1ST AVE N,LEWISTOWN,MT,59457,237310,Corporation,Unanswered,Unanswered,Unanswered,,151,4/3/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,"ST. JOHN'S LUTHERAN HOSPITAL FOUNDATION, INC.",209 Health Park Drive,LIBBY,MT,59923,622110,Non-Profit Organization,Unanswered,Male Owned,Unanswered,Y,277,4/4/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,LIVINGSTON HEALTHCARE,320 Alpenglow Lane,LIVINGSTON,MT,59047,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,339,4/9/20,First Interstate Bank,MT - 00
b $2-5 million,undisclosed,"OFTEDAL CONSTRUCTION, INC.",P O Box 400 206 Mt Hwy 59 N,MILES CITY,MT,59301,237310,Employee Stock Ownership Plan(ESOP),Unanswered,Unanswered,Unanswered,,383,4/29/20,"U.S. Bank, National Association",MT - 00
b $2-5 million,undisclosed,"CENNOX, INC.",3010 Santa Fe Court,MISSOULA,MT,59806,454310,Corporation,Unanswered,Unanswered,Unanswered,,335,4/10/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,"JACKSON CONTRACTOR GROUP, INC",5800 HWY 93 S,MISSOULA,MT,59804,236220,Corporation,White,Male Owned,Non-Veteran,,205,4/8/20,First Interstate Bank,MT - 00
b $2-5 million,undisclosed,"NEPTUNE AVIATION SERVICES, INC.",4301 Corporate Way,MISSOULA,MT,59808,481219,Subchapter S Corporation,White,Female Owned,Non-Veteran,,212,4/8/20,First Interstate Bank,MT - 00
b $2-5 million,undisclosed,"PARTNERS IN HOME CARE, INC.","2673 PALMER STREET, SUITE 201",MISSOULA,MT,59808,621610,Corporation,Unanswered,Unanswered,Unanswered,,151,4/29/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,ROCKY MOUNTAIN ELK FOUNDATION,5705 Grant Creek Rd,MISSOULA,MT,59808,813319,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,146,4/11/20,First Interstate Bank,MT - 00
b $2-5 million,undisclosed,TAMARACK MANAGEMENT INC,500 W Broadway,MISSOULA,MT,59802,531311,Corporation,Unanswered,Unanswered,Unanswered,,245,4/8/20,First Interstate Bank,MT - 00
b $2-5 million,undisclosed,"SALISH KOOTENAI COLLEGE, INC.",58138 US HIGHWAY 93,PABLO,MT,59855,611310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,289,4/5/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,PLAINS HOSPITAL CORPORATION,10 Kruger Road,PLAINS,MT,59859,622110,Non-Profit Organization,White,Male Owned,Non-Veteran,Y,225,4/4/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,ST. LUKE COMMUNITY HOSPITAL & NURSING HOME INC.,107 6TH AVE SW,RONAN,MT,59864,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0,4/6/20,Glacier Bank,MT - 00
b $2-5 million,undisclosed,SWANK ENTERPRISES,PO Box 568,VALIER,MT,59486,236220,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,168,4/10/20,Three Rivers Bank of Montana,MT - 00
b $2-5 million,undisclosed,"MAX & ERMA'S HOLDINGS, LLC",284 FLATHEAD AVE Suite 200,WHITEFISH,MT,59937,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,500,4/5/20,City National Bank,MT - 00
b $2-5 million,undisclosed,"NORTHEAST MONTANA HEALTH SERVICES, INC.",315 KNAPP ST,WOLF POINT,MT,59201,622110,Non-Profit Organization,Unanswered,Female Owned,Unanswered,Y,305,4/27/20,Opportunity Bank of Montana,MT - 00
c $1-2 million,undisclosed,"GARNET USA, LLC",2200 Montana Hwy 287,ALDER,MT,59710,212399,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,91,4/27/20,Bank of Montana,MT - 00
c $1-2 million,undisclosed,"CAPITAL OPPORTUNITIES, INC.",82 8TH ST,BELGRADE,MT,59714,621610,Corporation,Unanswered,Unanswered,Unanswered,,304,4/27/20,Glacier Bank,MT - 00
c $1-2 million,undisclosed,"ROCKY MOUNTAIN SUPPLY, INC.",210 GALLATIN FARMERS AVE,BELGRADE,MT,59714,424910,Cooperative,Unanswered,Unanswered,Unanswered,,249,4/10/20,Glacier Bank,MT - 00
c $1-2 million,undisclosed,"BIG SKY RANCH PARTNERS, LLC",750 Lone Mountain Ranch Rd,BIG SKY,MT,59716,721214,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,213,4/10/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,"MOONLIGHT CLUB, LLC",66 Mountain Loop Road,BIG SKY,MT,59716,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,321,4/10/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,"THE PRG GROUP, LLC",36 Center Lane,BIG SKY,MT,59716,236115,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,45,4/3/20,Stockman Bank of Montana,MT - 00
c $1-2 million,undisclosed,ANDERSON MASONRY INC,7393 MT HIGHWAY 35,BIGFORK,MT,59911,236210,Subchapter S Corporation,White,Male Owned,Non-Veteran,,61,4/9/20,TrailWest Bank,MT - 00
c $1-2 million,undisclosed,A & E ARCHITECTS PL,124 N 29TH ST,BILLINGS,MT,59101,541310,Corporation,Unanswered,Unanswered,Unanswered,,71,4/4/20,Glacier Bank,MT - 00
c $1-2 million,undisclosed,AGRI-SYSTEMS BINC,1300 MINNESOTA AVE,BILLINGS,MT,59101,237990,Corporation,Unanswered,Male Owned,Non-Veteran,,130,4/10/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,AIR CONTROLS BILLINGS INC,2115   2ND AVE N,BILLINGS,MT,59101,238220,Corporation,Unanswered,Unanswered,Unanswered,,62,4/3/20,Glacier Bank,MT - 00
c $1-2 million,undisclosed,"ALTERNATIVES, INC",2120 3rd Ave N,BILLINGS,MT,59101,623990,Corporation,Unanswered,Unanswered,Unanswered,,,4/9/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,ARCHIE COCHRANE MOTORS INC,2133 King Ave W,BILLINGS,MT,59102,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,104,4/10/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,AUTO AUCTION ASSOCIATES OF MONTANA INC,4432 S FRONTAGE ROAD,BILLINGS,MT,59101,423110,Corporation,Unanswered,Unanswered,Unanswered,,106,4/3/20,Glacier Bank,MT - 00
c $1-2 million,undisclosed,BILLINGS FLYING SERVICE INC,3655 AJ WAY,BILLINGS,MT,59106,532411,Corporation,Unanswered,Unanswered,Unanswered,,97,4/4/20,Glacier Bank,MT - 00
c $1-2 million,undisclosed,BREWER DENTAL CENTER PLLC,CENTRAL AVE2900 CENTRAL AVE BLDG 1,BILLINGS,MT,59102,621210,Partnership,Unanswered,Unanswered,Unanswered,,89,4/10/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,CENTURY GAMING INC,1327 WEIL ST,BILLINGS,MT,59101,713210,Corporation,White,Male Owned,Unanswered,,109,4/27/20,Stockman Bank of Montana,MT - 00
c $1-2 million,undisclosed,"CITY ROASTING CO, LLC",1131 N. 27th St,BILLINGS,MT,59101,311920,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,473,4/11/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,CONLIN'S FURNITURE INC,739 S 20TH ST,BILLINGS,MT,59102,442110,Subchapter S Corporation,White,Male Owned,Non-Veteran,,199,4/3/20,Stockman Bank of Montana,MT - 00
c $1-2 million,undisclosed,CORCORAN OILFIELD SERVICES INC,221 Lomond Ln,BILLINGS,MT,59101,484220,Corporation,White,Male Owned,Non-Veteran,,71,4/3/20,Stockman Bank of Montana,MT - 00
c $1-2 million,undisclosed,CORCORAN TRUCKING INC,221 Lomond Ln,BILLINGS,MT,59101,484110,Corporation,White,Male Owned,Non-Veteran,,114,4/3/20,Stockman Bank of Montana,MT - 00
c $1-2 million,undisclosed,CORPORATE AIR,1001 S 24th Street West,BILLINGS,MT,59102,481112,Subchapter S Corporation,White,Female Owned,Non-Veteran,,95,4/14/20,Stockman Bank of Montana,MT - 00
c $1-2 million,undisclosed,"ENERGY LABORATORIES, INC.",1120 S 27th St,BILLINGS,MT,59101,541380,Corporation,Unanswered,Unanswered,Unanswered,,145,4/14/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,"GEO R. PIERCE, INC",2950 KING AVE WEST,BILLINGS,MT,59102,441210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,101,4/3/20,Stockman Bank of Montana,MT - 00
c $1-2 million,undisclosed,GTUIT LLC,2924 Millenium Circle Ste A,BILLINGS,MT,59102,213111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,59,4/16/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,"GTUIT, LLC",2924 Millennium Circle Suite A,BILLINGS,MT,59102,221210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,59,4/15/20,Rocky Mountain Bank,MT - 00
c $1-2 million,undisclosed,INTERMOUNTAIN PLANNED PARENTHOOD,"1116 Grand Ave, Suite 201",BILLINGS,MT,59102,621410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,97,4/11/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,"JM SERVICES CRANE AND RIGGING, CO.",5610 Interstate Ave,BILLINGS,MT,59101,238990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,102,5/7/20,"Zions Bank, A Division of",MT - 00
c $1-2 million,undisclosed,"JP2, LLC","1211 GRAND AVE, STE 3",BILLINGS,MT,59102,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,218,4/14/20,"U.S. Bank, National Association",MT - 00
c $1-2 million,undisclosed,"LYNCH FLYING SERVICE, INC.",1691 AVIATION PL,BILLINGS,MT,59105,488190,Subchapter S Corporation,White,Male Owned,Unanswered,,80,4/3/20,Stockman Bank of Montana,MT - 00
c $1-2 million,undisclosed,"MEADOW LARK AGENCY, INC.",2913 MILLENNIUM CIR,BILLINGS,MT,59102,484121,Corporation,White,Female Owned,Non-Veteran,,169,4/3/20,The Yellowstone Bank,MT - 00
c $1-2 million,undisclosed,MONTANA PETERBILT LLC,3255 FRONTAGE RD,BILLINGS,MT,59101,336112,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,99,4/3/20,The Yellowstone Bank,MT - 00
c $1-2 million,undisclosed,MOUNTAIN WEST HOLDING COMPANY,445 Sugar Avenue,BILLINGS,MT,59107,237310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,128,4/10/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,NORTHWEST PIPE FITTINGS INC,1725 MAJESTIC LN,BILLINGS,MT,59102,423720,Employee Stock Ownership Plan(ESOP),Unanswered,Unanswered,Unanswered,,152,4/6/20,Glacier Bank,MT - 00
c $1-2 million,undisclosed,"PIERCE'S FLOORING, INC",2950 KING AVE WEST,BILLINGS,MT,59102,442210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,125,4/3/20,Stockman Bank of Montana,MT - 00
c $1-2 million,undisclosed,RIMROCK AUTO GROUP INC,3045 KING AVE w,BILLINGS,MT,59102,441110,Subchapter S Corporation,White,Male Owned,Unanswered,,165,4/3/20,Stockman Bank of Montana,MT - 00
c $1-2 million,undisclosed,RIMROCK FOUNDATION,1231 N 29th,BILLINGS,MT,59101,623220,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,169,4/11/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,"SHIPTON'S BIG R, INC.",1411 3rd Ave North,BILLINGS,MT,59101,452319,Corporation,Unanswered,Male Owned,Unanswered,,174,4/3/20,Stockman Bank of Montana,MT - 00
c $1-2 million,undisclosed,WARREN TRANSPORT INC,2348 N Frontage Rd,BILLINGS,MT,59101,484110,Subchapter S Corporation,White,Male Owned,Unanswered,,127,4/3/20,Stockman Bank of Montana,MT - 00
c $1-2 million,undisclosed,"WYO-BEN, INC.",1345 Discovery Drive,BILLINGS,MT,59102,212325,Corporation,Unanswered,Unanswered,Unanswered,,126,4/13/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,YELLOWSTONE ELECTRIC CO.,1919 4th Avenue N,BILLINGS,MT,59101,238210,Corporation,Unanswered,Male Owned,Unanswered,,91,4/10/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,YELLOWSTONE SURGERY CENTER  LLC,1144 N 28th St.,BILLINGS,MT,59101,621493,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,127,4/13/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,YOUTH DYNAMICS INC,2334 Lewis Avenue,BILLINGS,MT,59102,624110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,465,4/13/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,MOUNTAIN VIEW CO-OP,2200 Old Havre Hwy,BLACK EAGLE,MT,59414,424910,Corporation,Unanswered,Unanswered,Unanswered,,265,4/9/20,First Interstate Bank,MT - 00
c $1-2 million,undisclosed,ALTUM SENIOR LIVING,104 E Main Ste 404,BOZEMAN,MT,59715,812990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,163,4/28/20,Regions Bank,MT - 00
c $1-2 million,undisclosed,BOZEMAN MOTORS INC,2900 19TH AVE N,BOZEMAN,MT,59718,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,72,5/3/20,"U.S. Bank, National Association",MT - 00
c $1-2 million,undisclosed,"BRIDGER ORTHOPEDIC AND SPORTS MEDICINE, PC",1450 ELLIS ST STE 201,BOZEMAN,MT,59715,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,127,4/7/20,Glacier Bank,MT - 00
c $1-2 million,undisclosed,"COMMUNICARE TECHNOLOGY, INC.",2880 TECHNOLOGY BLVD W STE 183,BOZEMAN,MT,59718,541512,Corporation,Unanswered,Unanswered,Unanswered,,57,4/7/20,Glacier Bank,MT - 00
c $1-2 million,undisclosed,COMMUNITY FOOD CO-OP INC,908 W. MAIN STREET,BOZEMAN,MT,59715,445110,Corporation,Unanswered,Unanswered,Unanswered,,200,4/11/20,First Interstate Bank,MT - 00
