 LoanAmount ,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
" $148,000 ",HELENA,MT,59601,532490,Corporation,White,Male Owned,Non-Veteran,,18,4/3/20,Stockman Bank of Montana,MT - 00
" $148,000 ",KALISPELL,MT,59901,811111,Corporation,Unanswered,Unanswered,Non-Veteran,,11,4/3/20,Three Rivers Bank of Montana,MT - 00
" $148,000 ",BILLINGS,MT,59102,722511,Corporation,Unanswered,Male Owned,Non-Veteran,,40,4/4/20,Glacier Bank,MT - 00
" $148,000 ",KALISPELL,MT,59901,451110,Corporation,Unanswered,Unanswered,Unanswered,,0,4/8/20,Glacier Bank,MT - 00
" $147,988 ",BILLINGS,MT,59101,624229,Non-Profit Organization,White,Female Owned,Non-Veteran,Y,18,4/10/20,First Interstate Bank,MT - 00
" $147,908 ",BOZEMAN,MT,59718,561311,Corporation,Unanswered,Unanswered,Unanswered,,21,5/13/20,Montana Community Development Corp.,MT - 00
" $147,894 ",MISSOULA,MT,59808,442110,Corporation,Unanswered,Unanswered,Unanswered,,0,5/11/20,"Wells Fargo Bank, National Association",MT - 00
" $147,874 ",GREAT FALLS,MT,59405,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,4/10/20,First Interstate Bank,MT - 00
" $147,800 ",GREAT FALLS,MT,59405,447110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,27,4/8/20,Stockman Bank of Montana,MT - 00
" $147,600 ",BILLINGS,MT,59101,238210,Subchapter S Corporation,White,Male Owned,Non-Veteran,,13,4/15/20,The Yellowstone Bank,MT - 00
" $147,600 ",BILLINGS,MT,59102,238220,Corporation,White,Male Owned,Non-Veteran,,19,4/15/20,"Bank of Bridger, National Association",MT - 00
" $147,584 ",BILLINGS,MT,59101,446110,Subchapter S Corporation,White,Unanswered,Unanswered,,,4/8/20,First Interstate Bank,MT - 00
" $147,571 ",BUTTE,MT,59701,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,5/6/20,"Wells Fargo Bank, National Association",MT - 00
" $147,565 ",BOZEMAN,MT,59718,485320,Corporation,Unanswered,Unanswered,Unanswered,,23,5/1/20,Glacier Bank,MT - 00
" $147,360 ",MISSOULA,MT,59808,331221,Corporation,Unanswered,Male Owned,Non-Veteran,,12,4/9/20,First Interstate Bank,MT - 00
" $147,300 ",MISSOULA,MT,59808,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,35,4/8/20,Farmers State Bank,MT - 00
" $147,300 ",CLANCY,MT,59634,238220,Corporation,Unanswered,Unanswered,Unanswered,,14,4/8/20,Opportunity Bank of Montana,MT - 00
" $147,200 ",GREAT FALLS,MT,59401,611110,Non-Profit Organization,White,Male Owned,Unanswered,Y,25,4/4/20,Stockman Bank of Montana,MT - 00
" $147,200 ",PLAINS,MT,59859,441110,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,14,4/4/20,Stockman Bank of Montana,MT - 00
" $147,200 ",BILLINGS,MT,59102,811121,Corporation,Unanswered,Female Owned,Unanswered,,13,4/8/20,Stockman Bank of Montana,MT - 00
" $147,070 ",KALISPELL,MT,59901,237310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,4/9/20,Valley Bank of Kalispell,MT - 00
" $147,038 ",MISSOULA,MT,59802,722513,Corporation,Unanswered,Unanswered,Unanswered,,36,4/12/20,First Interstate Bank,MT - 00
" $146,965 ",BOZEMAN,MT,59715,315280,Corporation,Unanswered,Unanswered,Unanswered,,12,4/7/20,First Interstate Bank,MT - 00
" $146,900 ",BIGFORK,MT,59911,713910,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,15,4/15/20,American Bank,MT - 00
" $146,800 ",MISSOULA,MT,59808,221320,Corporation,Unanswered,Unanswered,Unanswered,,10,4/11/20,Idaho First Bank,MT - 00
" $146,800 ",MISSOULA,MT,59802,541310,Corporation,Unanswered,Unanswered,Unanswered,,10,4/3/20,Glacier Bank,MT - 00
" $146,800 ",BILLINGS,MT,59105,722511,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,45,4/3/20,Stockman Bank of Montana,MT - 00
" $146,800 ",MISSOULA,MT,59808,541110,Corporation,Unanswered,Unanswered,Unanswered,,6,4/28/20,Glacier Bank,MT - 00
" $146,700 ",BUTTE,MT,59701,531210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,26,4/5/20,Glacier Bank,MT - 00
" $146,500 ",MISSOULA,MT,59801,812112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,4/6/20,Glacier Bank,MT - 00
" $146,400 ",BILLINGS,MT,59106,541330,Subchapter S Corporation,White,Male Owned,Non-Veteran,,10,4/10/20,The Yellowstone Bank,MT - 00
" $146,400 ",MISSOULA,MT,59801,621498,Corporation,White,Female Owned,Unanswered,,13,4/3/20,Glacier Bank,MT - 00
" $146,400 ",MISSOULA,MT,59801,621210,Corporation,White,Male Owned,Unanswered,,12,4/3/20,Glacier Bank,MT - 00
" $146,300 ",BUTTE,MT,59701,311991,Corporation,Unanswered,Male Owned,Non-Veteran,,35,4/5/20,First Citizens Bank of Butte,MT - 00
" $146,200 ",BOZEMAN,MT,59718,722511,Corporation,White,Male Owned,Non-Veteran,,38,4/11/20,Stockman Bank of Montana,MT - 00
" $146,200 ",GREAT FALLS,MT,59404,453998,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,44,4/12/20,First Interstate Bank,MT - 00
" $146,200 ",BOZEMAN,MT,59715,541213,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,4/9/20,Glacier Bank,MT - 00
" $146,000 ",BIDDLE,MT,59314,541618,Corporation,Unanswered,Female Owned,Non-Veteran,,12,4/6/20,1st Bank,MT - 00
" $146,000 ",BILLINGS,MT,59102,524210,Corporation,White,Male Owned,Non-Veteran,,12,4/7/20,Glacier Bank,MT - 00
" $145,800 ",BILLINGS,MT,59101,713210,Subchapter S Corporation,White,Male Owned,Unanswered,,35,4/27/20,Stockman Bank of Montana,MT - 00
" $145,800 ",BILLINGS,MT,59104,561730,Corporation,Unanswered,Female Owned,Unanswered,,20,4/3/20,Farmers State Bank,MT - 00
" $145,786 ",BELGRADE,MT,59714,238320,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,30,4/13/20,Manhattan Bank,MT - 00
" $145,750 ",BUTTE,MT,59701,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,17,4/7/20,"Granite Mountain Bank, Inc.",MT - 00
" $145,700 ",EUREKA,MT,59917,113310,Corporation,Unanswered,Male Owned,Unanswered,,0,4/15/20,Glacier Bank,MT - 00
" $145,693 ",HELENA,MT,59601,238210,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,13,4/6/20,First Interstate Bank,MT - 00
" $145,600 ",KALISPELL,MT,59901,621210,Corporation,Unanswered,Male Owned,Non-Veteran,,14,4/28/20,Glacier Bank,MT - 00
" $145,565 ",NORRIS,MT,59745,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,4/7/20,First Interstate Bank,MT - 00
" $145,500 ",MISSOULA,MT,59803,722511,Subchapter S Corporation,White,Male Owned,Non-Veteran,,20,4/3/20,"First Montana Bank, Inc.",MT - 00
" $145,428 ",WHITEFISH,MT,59937,112130,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,4/28/20,First Interstate Bank,MT - 00
" $145,400 ",BOZEMAN,MT,59718,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17,4/5/20,First State Bank,MT - 00
" $145,188 ",MISSOULA,MT,59801,333992,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,16,4/16/20,First Interstate Bank,MT - 00
" $145,100 ",BILLINGS,MT,59102,811192,Sole Proprietorship,White,Male Owned,Non-Veteran,,20,4/6/20,"Bank of Bridger, National Association",MT - 00
" $145,000 ",BUTTE,MT,59701,237110,Corporation,White,Male Owned,Unanswered,,8,4/15/20,Glacier Bank,MT - 00
" $145,000 ",BILLINGS,MT,59102,722511,Subchapter S Corporation,White,Male Owned,Non-Veteran,,29,4/3/20,The Yellowstone Bank,MT - 00
" $145,000 ",BILLINGS,MT,59101,561740,Partnership,White,Male Owned,Non-Veteran,,15,4/4/20,Stockman Bank of Montana,MT - 00
" $145,000 ",BILLINGS,MT,59101,211130,Corporation,Unanswered,Unanswered,Unanswered,,10,4/6/20,Glacier Bank,MT - 00
" $145,000 ",BILLINGS,MT,59101,621111,Corporation,Unanswered,Unanswered,Unanswered,,11,4/7/20,Glacier Bank,MT - 00
" $145,000 ",HAVRE,MT,59501,722511,Corporation,White,Unanswered,Unanswered,,37,4/7/20,Independence Bank,MT - 00
" $144,900 ",MISSOULA,MT,59802,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,4/6/20,Rocky Mountain Bank,MT - 00
" $144,781 ",BOZEMAN,MT,59718,621420,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32,4/28/20,First Interstate Bank,MT - 00
" $144,700 ",KALISPELL,MT,59901,332321,Corporation,Unanswered,Male Owned,Non-Veteran,,11,4/6/20,"First Montana Bank, Inc.",MT - 00
" $144,600 ",BELGRADE,MT,59714,236220,Subchapter S Corporation,White,Male Owned,Non-Veteran,,12,4/11/20,Stockman Bank of Montana,MT - 00
" $144,600 ",BILLINGS,MT,59101,721211,Subchapter S Corporation,White,Male Owned,Non-Veteran,,44,4/3/20,Stockman Bank of Montana,MT - 00
" $144,600 ",HELENA,MT,59602,237310,Subchapter S Corporation,White,Female Owned,Non-Veteran,,11,4/3/20,Stockman Bank of Montana,MT - 00
" $144,500 ",RONAN,MT,59864,621210,Corporation,White,Male Owned,Non-Veteran,,10,4/3/20,Glacier Bank,MT - 00
" $144,486 ",WEST GLACIER,MT,59936,721211,Corporation,White,Male Owned,Unanswered,,30,4/8/20,Independence Bank,MT - 00
" $144,400 ",WHITEFISH,MT,59937,522320,Corporation,Unanswered,Unanswered,Unanswered,,0,4/15/20,Glacier Bank,MT - 00
" $144,400 ",MISSOULA,MT,59808,811191,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,26,4/3/20,Glacier Bank,MT - 00
" $144,400 ",CHOTEAU,MT,59422,445110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,28,4/4/20,"First Montana Bank, Inc.",MT - 00
" $144,400 ",MISSOULA,MT,59802,811111,Corporation,White,Male Owned,Non-Veteran,,13,4/4/20,TrailWest Bank,MT - 00
" $144,400 ",PLAINS,MT,59859,339991,Corporation,Unanswered,Unanswered,Unanswered,,15,4/28/20,Rocky Mountain Bank,MT - 00
" $144,200 ",FRENCHTOWN,MT,59834,621210,Corporation,White,Male Owned,Non-Veteran,,10,4/3/20,Glacier Bank,MT - 00
" $144,200 ",MISSOULA,MT,59808,238210,Corporation,White,Male Owned,Non-Veteran,,8,4/8/20,Glacier Bank,MT - 00
" $144,187 ",BUTTE,MT,59701,444130,Corporation,White,Male Owned,Non-Veteran,,18,4/10/20,Ireland Bank,MT - 00
" $144,140 ",HAVRE,MT,59501,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,4/28/20,Independence Bank,MT - 00
" $144,100 ",BUTTE,MT,59701,311611,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,4/13/20,KeyBank National Association,MT - 00
" $144,100 ",BILLINGS,MT,59105,621210,Sole Proprietorship,Unanswered,Male Owned,Unanswered,,16,4/6/20,First Security Bank of Roundup,MT - 00
" $144,005 ",HELENA,MT,59601,541110,Corporation,Unanswered,Unanswered,Unanswered,,7,4/10/20,First Community Bank,MT - 00
" $143,875 ",GREAT FALLS,MT,59405,532310,Corporation,White,Male Owned,Non-Veteran,,13,4/9/20,Belt Valley Bank,MT - 00
" $143,700 ",KALISPELL,MT,59901,722511,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,37,4/3/20,Stockman Bank of Montana,MT - 00
" $143,700 ",BILLINGS,MT,59101,423830,Corporation,Unanswered,Unanswered,Unanswered,,17,4/9/20,Glacier Bank,MT - 00
" $143,682 ",GREAT FALLS,MT,59404,237310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,26,4/8/20,First Interstate Bank,MT - 00
" $143,500 ",LAUREL,MT,59044,238110,Corporation,Unanswered,Unanswered,Unanswered,,10,4/29/20,Glacier Bank,MT - 00
" $143,500 ",KALISPELL,MT,59901,721110,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,32,4/3/20,Stockman Bank of Montana,MT - 00
" $143,500 ",BOZEMAN,MT,59715,922130,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,9,4/3/20,Stockman Bank of Montana,MT - 00
" $143,300 ",MANHATTAN,MT,59741,237990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,17,4/7/20,Glacier Bank,MT - 00
" $143,225 ",BOZEMAN,MT,59715,488510,Partnership,Unanswered,Unanswered,Non-Veteran,,9,4/15/20,"JPMorgan Chase Bank, National Association",MT - 00
" $143,205 ",LAME DEER,MT,59043,452990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,34,4/15/20,First Interstate Bank,MT - 00
" $143,100 ",MISSOULA,MT,59801,621210,Corporation,White,Male Owned,Unanswered,,16,4/3/20,Glacier Bank,MT - 00
" $143,100 ",MANHATTAN,MT,59741,236115,Corporation,Unanswered,Unanswered,Unanswered,,17,4/5/20,Glacier Bank,MT - 00
" $143,000 ",BILLINGS,MT,59102,722511,Corporation,Asian,Female Owned,Non-Veteran,,38,4/3/20,The Yellowstone Bank,MT - 00
" $143,000 ",BILLINGS,MT,59101,444190,Corporation,Unanswered,Male Owned,Unanswered,,16,4/6/20,Stockman Bank of Montana,MT - 00
" $142,887 ",MISSOULA,MT,59803,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,4/8/20,First Interstate Bank,MT - 00
" $142,800 ",MISSOULA,MT,59808,541110,Limited Liability Partnership,White,Male Owned,Non-Veteran,,9,4/3/20,Stockman Bank of Montana,MT - 00
" $142,800 ",STEVENSVILLE,MT,59870,561730,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,27,4/4/20,Farmers State Bank,MT - 00
" $142,800 ",GREAT FALLS,MT,59401,722513,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,4/30/20,"Citizens Bank, National Association",MT - 00
" $142,700 ",BOZEMAN,MT,59715,524210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,4/5/20,Glacier Bank,MT - 00
" $142,600 ",BILLINGS,MT,59102,238220,Subchapter S Corporation,White,Male Owned,Non-Veteran,,13,4/3/20,The Yellowstone Bank,MT - 00
" $142,600 ",HAMILTON,MT,59840,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,4/6/20,Opportunity Bank of Montana,MT - 00
" $142,565 ",GREAT FALLS,MT,59405,621210,Corporation,Unanswered,Unanswered,Unanswered,,37,4/12/20,First Interstate Bank,MT - 00
" $142,500 ",BOZEMAN,MT,59718,424810,Partnership,White,Male Owned,Non-Veteran,,11,4/10/20,Opportunity Bank of Montana,MT - 00
" $142,500 ",BILLINGS,MT,59102,722513,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,43,4/3/20,Glacier Bank,MT - 00
" $142,500 ",KALISPELL,MT,59901,722511,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,25,4/5/20,Three Rivers Bank of Montana,MT - 00
" $142,500 ",KALISPELL,MT,59901,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,50,4/14/20,Three Rivers Bank of Montana,MT - 00
" $142,500 ",BILLINGS,MT,59102,238210,Corporation,Unanswered,Female Owned,Non-Veteran,,15,4/9/20,Glacier Bank,MT - 00
" $142,480 ",BOZEMAN,MT,59715,238990,Corporation,Unanswered,Female Owned,Unanswered,,15,4/8/20,Manhattan Bank,MT - 00
" $142,300 ",ANACONDA,MT,59711,238220,Corporation,White,Male Owned,Non-Veteran,,6,4/3/20,"First Montana Bank, Inc.",MT - 00
" $142,250 ",BUTTE,MT,59701,238150,Corporation,White,Male Owned,Non-Veteran,,12,4/6/20,"Granite Mountain Bank, Inc.",MT - 00
" $142,200 ",BILLINGS,MT,59105,522298,Corporation,Unanswered,Unanswered,Unanswered,,15,4/8/20,Glacier Bank,MT - 00
" $142,177 ",HELENA,MT,59601,443142,Corporation,White,Male Owned,Non-Veteran,,13,4/13/20,First Interstate Bank,MT - 00
" $142,100 ",HELENA,MT,59601,721110,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,40,4/3/20,Stockman Bank of Montana,MT - 00
" $142,100 ",KALISPELL,MT,59901,238310,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,18,4/4/20,TrailWest Bank,MT - 00
" $142,000 ",BOZEMAN,MT,59715,621320,Limited  Liability Company(LLC),White,Female Owned,Unanswered,,18,4/3/20,Stockman Bank of Montana,MT - 00
" $142,000 ",BUTTE,MT,59701,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,33,4/3/20,Glacier Bank,MT - 00
" $142,000 ",MISSOULA,MT,59801,238150,Corporation,White,Male Owned,Non-Veteran,,5,4/13/20,Rocky Mountain Bank,MT - 00
" $142,000 ",BOZEMAN,MT,59718,531311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19,4/7/20,Glacier Bank,MT - 00
" $141,958 ",BOZEMAN,MT,59715,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,33,4/10/20,Peoples State Bank of Munising,MT - 00
" $141,900 ",BILLINGS,MT,59102,722511,Subchapter S Corporation,White,Male Owned,Non-Veteran,,33,4/13/20,The Yellowstone Bank,MT - 00
" $141,900 ",HELENA,MT,59601,541110,Partnership,Unanswered,Male Owned,Non-Veteran,,8,4/7/20,Glacier Bank,MT - 00
" $141,852 ",BOZEMAN,MT,59718,541511,Corporation,Unanswered,Unanswered,Unanswered,,8,5/3/20,"U.S. Bank, National Association",MT - 00
" $141,800 ",BILLINGS,MT,59106,337110,Subchapter S Corporation,White,Female Owned,Non-Veteran,,12,4/13/20,The Yellowstone Bank,MT - 00
" $141,700 ",KALISPELL,MT,59901,531311,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,15,4/6/20,Three Rivers Bank of Montana,MT - 00
" $141,658 ",HARDIN,MT,59034,423930,Corporation,White,Male Owned,Non-Veteran,,10,4/8/20,Little Horn State Bank,MT - 00
" $141,568 ",BILLINGS,MT,59102,541618,Subchapter S Corporation,White,Male Owned,Non-Veteran,,7,4/5/20,Glacier Bank,MT - 00
" $141,510 ",BELGRADE,MT,59714,238990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,4/15/20,First Interstate Bank,MT - 00
" $141,500 ",BUTTE,MT,59701,541110,Corporation,White,Male Owned,Unanswered,,9,4/4/20,First Citizens Bank of Butte,MT - 00
" $141,500 ",RAMSAY,MT,59748,424520,Corporation,White,Male Owned,Unanswered,,0,6/26/20,The Bank of Commerce,MT - 00
" $141,500 ",BILLINGS,MT,59102,623110,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,13,4/13/20,Rocky Mountain Bank,MT - 00
" $141,500 ",BLACK EAGLE,MT,59414,532412,Corporation,Unanswered,Unanswered,Unanswered,,13,4/7/20,First International Bank & Trust,MT - 00
" $141,440 ",BROADUS,MT,59317,445110,Subchapter S Corporation,White,Female Owned,Non-Veteran,,31,4/30/20,Stockman Bank of Montana,MT - 00
" $141,400 ",MISSOULA,MT,59803,531311,Corporation,Unanswered,Male Owned,Unanswered,,19,4/3/20,Glacier Bank,MT - 00
" $141,310 ",BILLINGS,MT,59102,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,40,5/27/20,"U.S. Bank, National Association",MT - 00
" $141,200 ",BUTTE,MT,59701,238220,Corporation,White,Male Owned,Non-Veteran,,8,4/6/20,"First Montana Bank, Inc.",MT - 00
" $141,100 ",KALISPELL,MT,59901,541330,Subchapter S Corporation,White,Male Owned,Non-Veteran,,8,4/15/20,Rocky Mountain Bank,MT - 00
" $141,009 ",GREAT FALLS,MT,59405,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24,4/7/20,Glacier Bank,MT - 00
" $141,000 ",GREAT FALLS,MT,59404,212321,Corporation,White,Unanswered,Non-Veteran,,15,4/4/20,Stockman Bank of Montana,MT - 00
" $141,000 ",MISSOULA,MT,59802,713910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,57,4/28/20,Glacier Bank,MT - 00
" $141,000 ",MISSOULA,MT,59808,444110,Corporation,Unanswered,Female Owned,Unanswered,,18,4/9/20,Rocky Mountain Bank,MT - 00
" $140,813 ",GREAT FALLS,MT,59404,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,4/28/20,First Interstate Bank,MT - 00
" $140,800 ",MISSOULA,MT,59801,444190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,22,4/3/20,Glacier Bank,MT - 00
" $140,800 ",HAMILTON,MT,59840,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,4/13/20,Glacier Bank,MT - 00
" $140,800 ",BILLINGS,MT,59101,111421,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,4/5/20,Beartooth Bank,MT - 00
" $140,700 ",KALISPELL,MT,59901,812331,Corporation,Unanswered,Unanswered,Unanswered,,17,4/6/20,Glacier Bank,MT - 00
" $140,600 ",SIDNEY,MT,59270,238220,Subchapter S Corporation,White,Male Owned,Unanswered,,7,4/3/20,The Yellowstone Bank,MT - 00
" $140,600 ",KALISPELL,MT,59901,238990,Corporation,Unanswered,Unanswered,Non-Veteran,,10,4/6/20,Three Rivers Bank of Montana,MT - 00
" $140,600 ",BELGRADE,MT,59714,336320,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,4/9/20,American Bank,MT - 00
" $140,500 ",MISSOULA,MT,59802,445310,Corporation,White,Male Owned,Non-Veteran,,12,4/3/20,Farmers State Bank,MT - 00
" $140,500 ",FORTINE,MT,59918,484110,Corporation,Unanswered,Unanswered,Unanswered,,14,4/8/20,Three Rivers Bank of Montana,MT - 00
" $140,500 ",BILLINGS,MT,59102,238210,Subchapter S Corporation,White,Male Owned,Unanswered,,14,4/8/20,Stockman Bank of Montana,MT - 00
" $140,400 ",GLASGOW,MT,59230,811310,Corporation,White,Male Owned,Non-Veteran,,15,4/6/20,"Bank of Bridger, National Association",MT - 00
" $140,400 ",MISSOULA,MT,59801,541199,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,4/8/20,Glacier Bank,MT - 00
" $140,350 ",BOZEMAN,MT,59715,541310,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,9,4/27/20,Independence Bank,MT - 00
" $140,306 ",MISSOULA,MT,59808,713920,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,44,4/14/20,"U.S. Bank, National Association",MT - 00
" $140,100 ",SIDNEY,MT,59270,213112,Corporation,White,Male Owned,Non-Veteran,,10,4/3/20,Stockman Bank of Montana,MT - 00
" $140,000 ",HELENA,MT,59601,484110,Corporation,Unanswered,Male Owned,Non-Veteran,,16,4/15/20,Glacier Bank,MT - 00
" $140,000 ",MISSOULA,MT,59804,812910,Non-Profit Organization,White,Male Owned,Non-Veteran,Y,26,4/3/20,Glacier Bank,MT - 00
" $140,000 ",BILLINGS,MT,59101,541810,Corporation,Unanswered,Unanswered,Unanswered,,10,4/4/20,Glacier Bank,MT - 00
" $140,000 ",MILES CITY,MT,59301,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24,4/4/20,Stockman Bank of Montana,MT - 00
" $140,000 ",EUREKA,MT,59917,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,4/6/20,Glacier Bank,MT - 00
" $140,000 ",BUTTE,MT,59701,524298,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,11,4/7/20,"Granite Mountain Bank, Inc.",MT - 00
" $140,000 ",MISSOULA,MT,59801,561990,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,13,4/15/20,Glacier Bank,MT - 00
